"teamName","scoreHome","scoreAway","completions","throwingAttempts","hucksCompleted","hucksAttempted","blocks","turnovers","oLineScores","oLinePoints","oLinePossessions","dLineScores","dLinePoints","dLinePossessions","redZoneScores","redZonePossessions","gameID","teamID"
"Phoenix",20,10,187,226,NA,NA,11,39,9,22,45,1,12,5,NA,NA,"2014-05-10-PHI-NY","phoenix"
"Wind Chill",25,24,367,389,NA,NA,15,22,17,27,31,7,26,18,NA,NA,"2014-05-10-MIN-IND","windchill"
"AlleyCats",25,24,100,109,NA,NA,0,9,7,11,15,0,8,2,NA,NA,"2014-05-10-MIN-IND","alleycats"
"Revolution",15,20,191,225,NA,NA,21,34,13,17,31,7,22,24,NA,NA,"2014-05-10-CIN-DET","revolution"
"Mechanix",15,20,141,177,NA,NA,12,36,11,22,38,4,17,17,NA,NA,"2014-05-10-CIN-DET","mechanix"
"Wind Chill",22,15,278,314,NA,NA,17,36,12,24,37,3,17,17,NA,NA,"2014-05-09-MIN-MAD","windchill"
"Radicals",22,15,198,229,NA,NA,14,31,12,17,31,10,24,24,NA,NA,"2014-05-09-MIN-MAD","radicals"
"Union",20,19,260,294,NA,NA,14,34,11,21,33,9,22,22,NA,NA,"2014-05-09-IND-CHI","union"
"AlleyCats",20,19,246,283,NA,NA,15,37,12,23,38,7,22,22,NA,NA,"2014-05-09-IND-CHI","alleycats"
"FlameThrowers",29,16,216,250,NA,NA,23,34,13,18,36,16,31,31,NA,NA,"2014-05-04-SEA-SF","flamethrowers"
"Cascades",29,16,280,329,NA,NA,19,49,11,31,42,5,18,23,NA,NA,"2014-05-04-SEA-SF","cascades"
"Breeze",28,19,225,250,NA,NA,13,25,16,21,32,12,30,23,NA,NA,"2014-05-04-PHI-DC","breeze"
"Phoenix",28,19,275,311,NA,NA,12,36,16,30,43,3,21,15,NA,NA,"2014-05-04-PHI-DC","phoenix"
"AlleyCats",21,22,123,150,NA,NA,13,27,17,23,35,5,24,16,NA,NA,"2014-05-04-IND-MIN","alleycats"
"Wind Chill",21,22,254,282,NA,NA,16,28,17,24,35,4,23,17,NA,NA,"2014-05-04-IND-MIN","windchill"
"Spiders",25,20,179,208,NA,NA,10,29,20,22,34,5,27,23,NA,NA,"2014-05-03-SEA-SJ","spiders"
"Cascades",25,20,318,353,NA,NA,13,35,19,27,44,1,22,14,NA,NA,"2014-05-03-SEA-SJ","cascades"
"Rush",26,11,218,247,NA,NA,27,29,11,13,23,15,28,35,NA,NA,"2014-05-03-ROC-TOR","rush"
"Dragons",26,11,202,248,NA,NA,9,46,9,28,45,2,13,12,NA,NA,"2014-05-03-ROC-TOR","dragons"
"Royal",16,17,229,249,NA,NA,5,20,11,19,28,5,18,11,NA,NA,"2014-05-03-NY-MTL","royal"
"Empire",16,17,248,269,NA,NA,14,21,11,18,23,6,19,16,NA,NA,"2014-05-03-NY-MTL","empire"
"Radicals",27,18,279,302,NA,NA,19,23,17,20,25,10,29,27,NA,NA,"2014-05-03-IND-MAD","radicals"
"AlleyCats",27,18,236,268,NA,NA,11,32,16,29,45,2,20,7,NA,NA,"2014-05-03-IND-MAD","alleycats"
"Mechanix",18,9,159,214,NA,NA,20,55,9,20,50,0,11,17,NA,NA,"2014-05-03-DET-CHI","mechanix"
